149000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.439 | ADC t2: 2.498 | ADC t3: 2.502 | ADC u: 0.235	 Control OFF
150000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.424 | ADC t2: 2.468 | ADC t3: 2.483 | ADC u: 0.000	 Control OFF
151000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.434 | ADC t2: 2.478 | ADC t3: 2.488 | ADC u: 0.000	 Control OFF
152000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.454 | ADC t2: 2.493 | ADC t3: 2.512 | ADC u: 0.357	 Control OFF
153000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.454 | ADC t2: 2.493 | ADC t3: 2.512 | ADC u: 0.000	 Control OFF
154000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.405 | ADC t2: 2.458 | ADC t3: 2.478 | ADC u: 0.000	 Control OFF
155000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.454 | ADC t2: 2.498 | ADC t3: 2.507 | ADC u: 0.000	 Control OFF
156000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.512 | ADC u: 0.318	 Control OFF
157000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.429 | ADC t2: 2.468 | ADC t3: 2.488 | ADC u: 0.000	 Control OFF
158000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.424 | ADC t2: 2.473 | ADC t3: 2.488 | ADC u: 0.000	 Control OFF
159000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.507 | ADC u: 0.332	 Control OFF
160000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.512 | ADC u: 0.000	 Control OFF
161000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.405 | ADC t2: 2.463 | ADC t3: 2.478 | ADC u: 0.000	 Control OFF
162000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.444 | ADC t2: 2.488 | ADC t3: 2.502 | ADC u: 0.000	 Control OFF
163000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.512 | ADC u: 0.367	 Control OFF
164000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.429 | ADC t2: 2.473 | ADC t3: 2.493 | ADC u: 0.000	 Control OFF
165000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.424 | ADC t2: 2.468 | ADC t3: 2.478 | ADC u: 0.000	 Control OFF
166000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.454 | ADC t2: 2.493 | ADC t3: 2.507 | ADC u: 0.274	 Control OFF
167000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.507 | ADC u: 0.132	 Control OFF
168000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.419 | ADC t2: 2.458 | ADC t3: 2.478 | ADC u: 0.000	 Control OFF
169000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.434 | ADC t2: 2.478 | ADC t3: 2.488 | ADC u: 0.000	 Control OFF
170000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.507 | ADC u: 0.367	 Control OFF
171000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.488 | ADC t3: 2.507 | ADC u: 0.000	 Control OFF
172000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.405 | ADC t2: 2.458 | ADC t3: 2.473 | ADC u: 0.000	 Control OFF
173000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.507 | ADC u: 0.000	 Control OFF
174000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.444 | ADC t2: 2.488 | ADC t3: 2.507 | ADC u: 0.327	 Control OFF
175000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.424 | ADC t2: 2.468 | ADC t3: 2.488 | ADC u: 0.000	 Control OFF
176000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.424 | ADC t2: 2.468 | ADC t3: 2.478 | ADC u: 0.000	 Control OFF
177000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.488 | ADC t3: 2.507 | ADC u: 0.288	 Control OFF
178000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.493 | ADC u: 0.122	 Control OFF
179000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.419 | ADC t2: 2.458 | ADC t3: 2.478 | ADC u: 0.000	 Control OFF
180000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.429 | ADC t2: 2.473 | ADC t3: 2.483 | ADC u: 0.000	 Control OFF
181000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.507 | ADC u: 0.347	 Control OFF
182000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.493 | ADC t3: 2.507 | ADC u: 0.000	 Control OFF
183000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.414 | ADC t2: 2.458 | ADC t3: 2.473 | ADC u: 0.000	 Control OFF
184000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.434 | ADC t2: 2.483 | ADC t3: 2.493 | ADC u: 0.000	 Control OFF
185000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.449 | ADC t2: 2.488 | ADC t3: 2.502 | ADC u: 0.386	 Control OFF
186000.0 ms 	| PWM duty: 2047 / 4095 | ADC t1: 2.444 | ADC t2: 2.478 | ADC t3: 2.498 | ADC u: 0.000	 Control OFF
